date,open,high,low,close,volume,amount,turn,pctChg
2021-02-04,5453.9764,5510.0535,5411.5749,5473.9475,18057565400,397995205379.9,0.653223,-0.205157
2021-02-05,5494.7011,5550.7714,5477.6517,5483.414,18969959800,395400134490.0,0.686032,0.172937
2021-02-08,5506.1423,5576.4908,5479.8529,5564.5618,16403377500,367582771658.8,0.571412,1.479877
2021-02-09,5584.165,5686.2502,5555.0537,5686.2502,16488726000,378769121171.9,0.595711,2.186846
2021-02-10,5709.684,5823.4219,5707.3295,5807.7191,17016978600,417056463360.9,0.614786,2.136186
2021-02-18,5922.0714,5930.9122,5747.6631,5768.3814,21884868600,507481235977.7,0.761648,-0.677335
2021-02-19,5734.0193,5787.8871,5667.3209,5778.842,21447578000,456433793702.1,0.774504,0.181344
2021-02-22,5785.5097,5785.5097,5597.3327,5597.3327,28212438200,543633153216.5,1.018702,-3.140929
2021-02-23,5542.6841,5644.7551,5541.1092,5579.6681,23380772700,424904470814.2,0.844228,-0.31559
2021-02-24,5591.4795,5598.8284,5379.7278,5437.5683,22542861000,472369211004.2,0.813972,-2.546743
2021-02-25,5494.4706,5527.6296,5444.1646,5469.5584,23073602800,412206157140.7,0.833113,0.588316
2021-02-26,5343.9041,5416.3197,5318.8579,5336.7609,21226454300,405717700127.9,0.766418,-2.427938
2021-03-01,5389.2499,5421.555,5345.9449,5418.7837,17746352300,358146545967.0,0.640491,1.53694
2021-03-02,5453.2847,5454.9687,5305.0545,5349.6301,19651111500,376444604695.3,0.708441,-1.276183
2021-03-03,5327.3467,5452.396,5316.4809,5452.2125,19470905400,337610313596.0,0.70194,1.917561
2021-03-04,5388.4785,5392.3725,5254.7771,5280.7058,21277521100,384382456961.0,0.76707,-3.145635
2021-03-05,5191.9699,5307.8203,5174.2458,5262.7958,20262795600,352539774294.9,0.73047,-0.339159
2021-03-08,5299.7907,5326.2602,5079.7984,5080.0246,23023163500,407133802141.7,0.799964,-3.472892
2021-03-09,5066.1546,5094.311,4917.909,4970.9994,23071100400,414415213806.0,0.831712,-2.146155
2021-03-10,5047.0589,5055.2785,4981.6161,5003.6121,16992849000,309577408714.9,0.612591,0.656059
2021-03-11,5024.5586,5138.4146,5020.5784,5128.2156,18960076600,333859199678.6,0.683504,2.490271
2021-03-12,5153.674,5153.674,5086.8234,5146.3786,20102058900,323237751413.4,0.724671,0.354178
2021-03-15,5116.1228,5120.8757,4992.3989,5035.5441,20415308400,330740513807.9,0.709319,-2.153641
2021-03-16,5054.4089,5084.3085,5009.951,5079.3624,16139005400,271755048563.6,0.581782,0.87018
2021-03-17,5062.7706,5123.5452,5020.1255,5100.8581,14916237600,263492417709.0,0.537703,0.423197
2021-03-18,5114.5872,5160.4566,5111.1294,5141.7681,14290151800,260930046844.7,0.515134,0.802022
2021-03-19,5068.5319,5089.9175,4980.7609,5007.0907,16417484900,282974489237.2,0.59182,-2.619282
2021-03-22,5008.3953,5071.3378,4996.541,5057.152,16740263200,264209098943.0,0.603455,0.999808
2021-03-23,5057.0632,5064.02,4966.534,5009.2459,15801396700,255755377659.6,0.569611,-0.947294
2021-03-24,4985.4013,5024.3274,4919.8932,4928.6853,15938598200,265970020152.0,0.574556,-1.608238
2021-03-25,4904.0683,4950.7608,4883.6615,4926.3469,13294518900,219782049461.7,0.479231,-0.047445
2021-03-26,4953.9453,5050.8292,4953.9453,5037.9899,14592669700,273901922431.0,0.526022,2.266243
